#period	period time	calc time
1	5482	1499
2	4753	1993
3	5985	1999
4	4005	2494
5	5244	2750
6	4742	2505
7	5253	2249
8	4993	2503
9	4998	1995
10	5495	2013
11	4497	2000
12	5500	2744
13	4250	2244
14	4996	2745
15	4988	1998
16	5252	2243
17	4741	2752
18	5248	2247
19	4999	3247
20	4999	2245
21	4994	1747
22	5000	2245
23	4995	1747
24	5242	2249
25	4750	1753
26	4998	2994
27	4993	1749
28	4998	2497
29	4997	1748
30	4994	2250
31	4747	2752
32	5248	2251
33	5245	2503
34	4746	2256
35	5249	2003
36	4746	2501
37	4998	1752
38	5249	3245
39	4744	2257
40	4998	2252
41	4999	2000
42	5246	1997
43	4994	2252
44	4750	2250
45	5247	2498
46	4996	1998
47	4995	2247
48	4745	2505
49	5000	2000
50	5246	2499
51	4745	2001
52	5248	2252
53	5252	1997
54	4743	2251
55	4746	2748
56	4995	2250
57	4999	2498
58	4997	2502
59	5000	1996
60	5742	2002
61	4247	2003
62	5248	3004
63	4747	2000
64	4995	2752
65	5000	2001
66	4997	2248
67	5494	2001
68	4749	2248
69	5244	2756
70	4495	2499
71	4999	2012
72	5003	2258
73	4996	2001
74	5496	2001
75	4756	2001
76	4995	2983
77	4732	2007
78	5010	2749
79	4993	1998
80	5003	2494
81	5490	2001
82	4747	2255
83	5253	2493
84	4497	2495
85	4991	2001
86	5003	2246
87	5245	1746
88	5241	2002
89	4754	1745
90	5493	2747
91	4245	1999
92	5004	2743
93	4995	2001
94	5242	2256
95	5244	2000
96	4753	2241
97	4994	2741
98	5001	2245
99	4995	2495
100	4741	2501
101	5254	1747
102	5490	2000
103	4248	2000
104	5255	3000
105	4746	1991
106	5000	1993
107	4994	2248
108	4741	2000
109	5254	2244
110	5494	2246
111	4494	2250
112	5003	2496
113	4993	2248
114	4995	1998
115	5251	2240
116	4745	1999
117	5494	2750
118	4500	1997
119	4997	2501
120	4993	2000
121	4996	2257
122	4748	2753
123	5248	2248
124	4995	3011
125	5000	2255
126	5245	2501
127	4743	2259
128	5254	2002
129	4741	2500
130	4998	1758
131	4997	2748
132	4996	2000
133	4997	2250
134	4999	2498
135	4995	2252
136	4996	2506
137	4997	2257
138	5249	1998
139	5243	2010
140	4499	2006
141	4999	3246
142	5242	2259
143	4749	2753
144	4995	2000
145	5005	2252
146	5489	2006
147	4748	2250
148	4999	2506
149	4745	2254
150	4995	2501
151	4992	2264
152	5003	2008
153	5496	2265
154	4497	1998
155	5000	3255
156	5496	2007
157	4745	2506
158	4745	2000
159	5002	2496
160	5740	2008
161	4248	2501
162	5001	2994
163	4992	2499
164	5003	2246
165	4990	2501
166	4996	1999
167	5751	1997
168	4249	1996
169	5735	2762
170	4254	1999
171	5003	2744
172	4989	2000
173	5004	1996
174	5490	2003
175	4997	1998
176	5000	2496
177	4497	2497
178	4992	2751
179	4997	2502
180	5002	1996
181	5740	2000
182	4508	1743
183	5491	2747
184	4244	1999
185	5253	2495
186	4745	2246
187	4993	1999
188	5745	2002
189	4503	2246
190	4983	2747
191	4999	2251
192	4996	2500
193	4744	2499
194	5253	1744
195	5507	2002
196	4492	1749
197	5246	2997
198	4496	1998
199	5252	2743
200	4995	1746
201	4999	2243
202	5495	1994
203	4493	2248
204	5003	2742
205	4989	2253
206	4997	2500
207	4998	2249
208	4996	1997
209	5495	1999
210	4751	1996
211	5491	2756
212	4248	2003
213	5000	2747
214	4991	2010
215	5000	2255
216	5494	2001
217	4498	2258
218	5249	2499
219	4747	2248
220	5247	2502
221	4998	1997
222	4743	2000
223	5746	2002
224	4256	1993
225	4989	3249
226	5005	1996
227	5245	2495
228	4739	2001
229	5255	2247
230	5240	1999
231	4745	2264
232	5001	2498
233	4748	2246
234	4998	2501
235	4998	2245
236	4995	1998
237	4993	2504
238	5255	1993
239	4990	2499
240	4750	1997
241	5246	2242
242	5240	2000
243	4504	2250
244	5245	2496
245	4745	2243
246	5247	2503
247	4994	2001
248	4747	2011
249	5752	1996
250	4244	1999
251	5247	3001
252	4747	2503
253	5246	2499
254	4754	1995
255	5245	2245
256	5241	1999
257	4504	2247
258	5248	2742
259	4740	2246
260	5246	2501
261	4746	2247
262	4996	1995
263	5249	2499
264	4746	2000
265	4997	3004
266	4996	2004
267	5250	2246
268	4742	3003
269	5003	2497
270	5242	2500
271	4753	2245
272	5245	1746
273	5235	2255
274	4761	1746
275	4995	2996
276	4741	2000
277	5254	2748
278	4737	2002
279	5249	2253
280	5545	1956
281	4450	2250
282	4999	2747
283	4748	2498
284	5243	2500
285	5005	2245
286	4996	2000
287	5237	2259
288	4753	2002
289	5001	3241
290	4990	2001
291	5000	2747
