#signal	response time
0	823
1	1429
2	1434
3	1428
4	1235
5	2184
6	1682
7	2176
8	1184
9	1184
10	1441
11	1686
12	1933
13	2187
14	2675
15	2692
16	1182
17	1188
18	2430
19	2184
20	2676
21	2183
22	1186
23	1685
24	1935
25	1176
26	1933
27	1685
28	1182
29	1939
30	1445
31	1661
32	1666
33	1691
34	1188
35	1985
36	1190
37	1666
38	2178
39	1431
40	1429
41	1665
42	1681
43	1428
44	1671
45	1179
46	1176
47	2424
48	1675
49	1189
50	2184
51	1676
52	2231
53	1177
54	1414
55	2678
56	2173
57	2416
58	2192
59	1421
60	1930
61	1675
62	1425
63	1421
64	1928
65	1432
66	1927
67	1676
68	1174
69	1675
70	1672
71	1186
72	2168
73	1429
74	1175
75	1930
76	1678
77	1176
78	2177
79	1677
80	1184
81	1665
82	1685
83	1444
84	1923
85	1679
86	1174
87	1673
88	1681
89	1185
90	2167
91	1675
92	1176
93	1677
94	1926
95	1436
96	1923
97	1417
98	1431
99	1433
100	1664
101	2683
102	2419
103	1415
104	1435
105	1933
106	1429
107	1683
108	1669
109	1428
110	1425
111	1928
112	2930
113	2169
114	2684
115	1920
116	1424
117	1676
118	1928
119	1172
120	1690
121	1665
122	1430
123	1682
124	1926
125	2416
126	2182
127	1171
128	2429
129	1427
130	1183
131	1666
132	1929
133	1177
134	1928
135	1676
136	1175
137	1678
138	1929
139	1169
140	1927
141	1926
142	1181
143	1669
144	1686
145	1167
146	2176
147	1715
148	1181
149	1670
150	1673
151	1426
152	1676
153	1683
154	1423
155	1671
156	1675
157	1419
158	1686
159	1926
160	2432
161	2172
162	1421
163	1929
164	1679
165	1179
166	1667
167	1227
168	4
169	9
170	8
